name,line,lon,lat
金安桥, S1线, 116.163167, 39.923620
四道桥, S1线, 116.134010, 39.916030
桥户营, S1线, 116.125809, 39.912383
上岸, S1线, 116.122225, 39.905138
栗园庄, S1线, 116.123254, 39.895780
小园, S1线, 116.114443, 39.890465
石厂, S1线, 116.100334, 39.889378
苹果园, 1号线, 116.177388, 39.926727
古城, 1号线, 116.190337, 39.907450
八角游乐园, 1号线, 116.212684, 39.907442
八宝山, 1号线, 116.235948, 39.907440
玉泉路, 1号线, 116.252888, 39.907433
五棵松, 1号线, 116.273987, 39.907456
万寿路, 1号线, 116.294765, 39.907474
公主坟, 1号线, 116.309919, 39.907469
军事博物馆, 1号线, 116.321459, 39.907422
木樨地, 1号线, 116.337583, 39.907379
南礼士路, 1号线, 116.352583, 39.907234
复兴门, 1号线, 116.356866, 39.907242
西单, 1号线, 116.374072, 39.907383
天安门西, 1号线, 116.391278, 39.907472
天安门东, 1号线, 116.401216, 39.907780
王府井, 1号线, 116.411571, 39.908069
东单, 1号线, 116.418480, 39.908325
建国门, 1号线, 116.435806, 39.908501
永安里, 1号线, 116.450497, 39.908454
国贸, 1号线, 116.461841, 39.909104
大望路, 1号线, 116.475783, 39.908287
四惠, 1号线, 116.495456, 39.908749
四惠东, 1号线, 116.515664, 39.908495
积水潭, 2号线, 116.373126, 39.948653
鼓楼大街, 2号线, 116.393776, 39.948972
安定门, 2号线, 116.408240, 39.949180
雍和宫, 2号线, 116.417069, 39.949336
东直门, 2号线, 116.435842, 39.941626
东四十条, 2号线, 116.434133, 39.933801
朝阳门, 2号线, 116.434584, 39.924499
建国门, 2号线, 116.435806, 39.908501
北京站, 2号线, 116.427287, 39.904983
崇文门, 2号线, 116.417093, 39.901063
前门, 2号线, 116.397937, 39.900192
和平门, 2号线, 116.384209, 39.900098
宣武门, 2号线, 116.374314, 39.899765
长椿街, 2号线, 116.363355, 39.899433
复兴门, 2号线, 116.356866, 39.907242
阜成门, 2号线, 116.356009, 39.923686
车公庄, 2号线, 116.354357, 39.932397
西直门, 2号线, 116.355426, 39.940474
天宫院, 4号线大兴线, 116.319932, 39.670342
生物医药基地, 4号线大兴线, 116.321662, 39.686510
义和庄, 4号线大兴线, 116.319079, 39.712387
黄村火车站, 4号线大兴线, 116.332611, 39.722966
黄村西大街, 4号线大兴线, 116.332631, 39.731769
清源路, 4号线大兴线, 116.332513, 39.742724
枣园, 4号线大兴线, 116.332204, 39.753458
高米店南, 4号线大兴线, 116.331605, 39.763489
高米店北, 4号线大兴线, 116.330787, 39.773547
