name,line,lon,lat
湘湖, 1号线, 120.234391, 30.167585
滨康路, 1号线, 120.231003, 30.183864
西兴, 1号线, 120.220429, 30.187295
滨和路, 1号线, 120.217552, 30.199550
江陵路, 1号线, 120.216602, 30.208994
近江, 1号线, 120.197851, 30.230791
婺江路, 1号线, 120.191008, 30.236914
城站, 1号线, 120.181104, 30.244457
定安路, 1号线, 120.167751, 30.245954
龙翔桥, 1号线, 120.164052, 30.254642
凤起路, 1号线, 120.162887, 30.263779
武林广场, 1号线, 120.164324, 30.272368
西湖文化广场, 1号线, 120.165639, 30.279585
打铁关, 1号线, 120.176592, 30.285421
闸弄口, 1号线, 120.192496, 30.284507
火车东站, 1号线, 120.212892, 30.291124
彭埠, 1号线, 120.223661, 30.294065
七堡, 1号线, 120.241065, 30.300002
九和路, 1号线, 120.252784, 30.305799
九堡, 1号线, 120.266622, 30.307910
客运中心, 1号线, 120.278700, 30.311183
下沙西, 1号线, 120.312534, 30.309918
金沙湖, 1号线, 120.325720, 30.309246
高沙路, 1号线, 120.335408, 30.309420
文泽路, 1号线, 120.348439, 30.309996
文海南路, 1号线, 120.376146, 30.311208
云水, 1号线, 120.381787, 30.302893
下沙江滨, 1号线, 120.381720, 30.287736
杭州大会展中心, 1号线, 120.411964, 30.271186
港城大道, 1号线, 120.425429, 30.270715
南阳, 1号线, 120.435738, 30.270138
向阳路, 1号线, 120.442553, 30.260328
萧山国际机场, 1号线, 120.434401, 30.236158
湘湖, 1号线, 120.234391, 30.167585
滨康路, 1号线, 120.231003, 30.183864
西兴, 1号线, 120.220429, 30.187295
滨和路, 1号线, 120.217552, 30.199550
江陵路, 1号线, 120.216602, 30.208994
近江, 1号线, 120.197851, 30.230791
婺江路, 1号线, 120.191008, 30.236914
城站, 1号线, 120.181104, 30.244457
定安路, 1号线, 120.167751, 30.245954
龙翔桥, 1号线, 120.164052, 30.254642
凤起路, 1号线, 120.162887, 30.263779
武林广场, 1号线, 120.164324, 30.272368
西湖文化广场, 1号线, 120.165639, 30.279585
打铁关, 1号线, 120.176592, 30.285421
闸弄口, 1号线, 120.192496, 30.284507
火车东站, 1号线, 120.212892, 30.291124
彭埠, 1号线, 120.223661, 30.294065
七堡, 1号线, 120.241065, 30.300002
九和路, 1号线, 120.252784, 30.305799
九堡, 1号线, 120.266622, 30.307910
客运中心, 1号线, 120.278700, 30.311183
乔司南, 1号线, 120.290691, 30.327319
乔司, 1号线, 120.285261, 30.346865
翁梅, 1号线, 120.295006, 30.364832
余杭高铁站, 1号线, 120.297858, 30.382057
南苑, 1号线, 120.302207, 30.394986
临平, 1号线, 120.304068, 30.406793
朝阳, 2号线, 120.268228, 30.122219
曹家桥, 2号线, 120.267867, 30.134524
潘水, 2号线, 120.267644, 30.148186
人民路, 2号线, 120.267502, 30.159176
杭发厂, 2号线, 120.267205, 30.170619
人民广场, 2号线, 120.266831, 30.179593
建设一路, 2号线, 120.266538, 30.194046
建设三路, 2号线, 120.268252, 30.204512
振宁路, 2号线, 120.269215, 30.217695
飞虹路, 2号线, 120.263328, 30.230955
盈丰路, 2号线, 120.252501, 30.236997
钱江世纪城, 2号线, 120.244139, 30.240555
钱江路, 2号线, 120.213387, 30.255978
庆春广场, 2号线, 120.204748, 30.257602
庆菱路, 2号线, 120.193077, 30.257613
建国北路, 2号线, 120.181413, 30.264496
中河北路, 2号线, 120.172436, 30.264596
凤起路, 2号线, 120.162887, 30.263779
武林门, 2号线, 120.155334, 30.269792
沈塘桥, 2号线, 120.150223, 30.280146
下宁桥, 2号线, 120.140024, 30.283319
学院路, 2号线, 120.129776, 30.282757
