name,type,lng,lat
麦当劳(交道口餐厅),cater,116.415862,39.947472
麦当劳(东四大街店),cater,116.424132,39.931009
肯德基(北新桥餐厅),cater,116.423468,39.94774
肯德基(雍和宫餐厅),cater,116.422785,39.954985
大兴胡同面茶,cater,116.418383,39.944092
永盛斋小吃店,cater,116.409978,39.926124
肯德基(宽街餐厅),cater,116.416603,39.939382
嘉和一品(芍药居店),cater,116.43957,39.989271
麦当劳(和平街北口餐厅),cater,116.430559,39.975052
肯德基(来福士餐厅),cater,116.438919,39.946502
护国寺小吃(东四店),cater,116.423762,39.938772
肯德基(建华餐厅),cater,116.417969,39.917738
护国寺小吃(和平西街店),cater,116.423801,39.971425
麦当劳(北京apm餐厅),cater,116.418027,39.921096
老北京炸酱面老店(王府井店),cater,116.417079,39.917411
肯德基(北辰餐厅),cater,116.414516,40.000627
永和大王(安贞路分店),cater,116.408092,39.978765
护国寺小吃(安定门店),cater,116.413546,39.959107
增盛魁小吃店,cater,116.417439,39.933983
麦当劳(亚运村餐厅),cater,116.414582,40.00032
麦当劳(银座百货餐厅),cater,116.442312,39.946191
汉堡王(悠唐购物中心店),cater,116.445636,39.927833
重庆老街小面(安定门店),cater,116.414481,39.952575
麦当劳(东直门交通枢纽餐厅),cater,116.442052,39.948335
金鼎轩(王府井燕莎店),cater,116.416331,39.916223
东方饺子王(金宝街店),cater,116.433403,39.922971
马路边边麻辣烫串串香(金宝街店),cater,116.439362,39.921813
永和大王(华普店),cater,116.445436,39.930726
眉州小吃(环球店),cater,116.417079,39.972557
宏状元粥店(和平西桥店),cater,116.424156,39.97177
永和大王(北京站),cater,116.434072,39.909927
鮨游,cater,116.42113,39.954584
老边饺子馆(东单店),cater,116.423966,39.920858
晋宝章大同刀削面(和平里店),cater,116.426827,39.963593
李先生(东四店),cater,116.42363,39.931881
李先生(东单店),cater,116.424621,39.917766
马路边边麻辣烫串串香(对外经贸大学店),cater,116.430742,39.985376
河沿肉饼(东华门店),cater,116.410341,39.921369
宏状元粥店(西坝河店),cater,116.442249,39.973227
魏家凉皮(协和店),cater,116.424199,39.917187
熊记抄手108号(鼓楼店),cater,116.409596,39.947099
陕面居(外馆斜街店),cater,116.411522,39.96859
糖葫芦(东四物美店),cater,116.424292,39.93082
余婆炸鸡(鼓楼店),cater,116.404427,39.958033
永和大王(东直门外大街店),cater,116.441937,39.947593
韩师傅老大同刀削面(北苑路店),cater,116.418865,39.992635
王胖子驴肉火烧(东四店),cater,116.423739,39.942458
味千拉面(银座百货店),cater,116.442319,39.945781
西少爷肉夹馍(远洋未来广场购物中心店),cater,116.438607,39.996343
小豆面馆(和平西桥店),cater,116.42415,39.971502
津三绝炸糕(地安门店),cater,116.402622,39.945332
满姐饺子(北京INN店),cater,116.438091,39.928407
赛百味(王府井店),cater,116.418364,39.916715
刀小蛮(北京apm店),cater,116.41846,39.920106
京八珍(和平东桥店),cater,116.428748,39.975866
霸蛮湖南牛肉粉(王府井店),cater,116.418266,39.916511
来相会饺子宴(东单店),cater,116.423871,39.920885
丸龟制面(环贸中心店),cater,116.416819,39.972767
一品小笼(远洋未来广场购物中心店),cater,116.438493,39.996391
赛百味(人寿大厦店),cater,116.446375,39.929465
夸父炸串(来福士店),cater,116.43888,39.945984
金鼎轩(地坛店),cater,116.422267,39.957213
宝瑞门钉肉饼店,cater,116.432205,39.936265
束河人家(东单店),cater,116.427926,39.916113
好伦哥(地坛店),cater,116.414105,39.959647
天桥茶汤李京味餐厅(和平里店),cater,116.426788,39.968032
江湖(东棉花胡同店),cater,116.414188,39.942075
必胜客(南锣鼓巷餐厅),cater,116.409581,39.939519
必胜客(王府井淘汇餐厅),cater,116.417116,39.922521
必胜客(惠新东桥餐厅),cater,116.429865,39.995567
文宇奶酪店(南锣鼓巷店),cater,116.409425,39.944968
清真燕兰楼(东四十条店),cater,116.437586,39.940176
金簋小山城(总店),cater,116.425053,39.947355
LAKER'S(对外经贸店),cater,116.429275,39.986911
喜家德虾仁水饺(王府井银泰in88店),cater,116.417856,39.922613
西部马华西域美食(朝阳门内大街店),cater,116.424775,39.93079
毕派克咖啡(樱花园东街店),cater,116.431588,39.976638
速度披萨(悠唐购物中心二期店),cater,116.444809,39.927969
速度披萨((王府井店)),cater,116.418985,39.921478
必胜宅急送(安外大街店),cater,116.413871,39.958136
茶花妹子潮汕砂锅粥(小营店),cater,116.430183,39.999537
揽月斋牛肉面,cater,116.4199,39.997299
和记南拳粥馆(北京apm店),cater,116.41795,39.920541
和府捞面(远洋·未来广场购物中心店),cater,116.438567,39.996632
牛姥姥牛奶酪,cater,116.413458,39.978591
乌巢比萨主义主题餐厅(悠唐购物中心二期店),cater,116.446567,39.927881
和府捞面(悠唐购物中心店),cater,116.44598,39.927473
比萨玛尚诺(apm店),cater,116.418472,39.920499
秦唐味道(和平街店),cater,116.428748,39.975027
胡椒厨房(北京来福士中心店),cater,116.439091,39.945866
护国寺小吃(和平西街店),cater,116.423801,39.971425
南城香(国展店),cater,116.445986,39.966328
护国寺小吃(安慧里店),cater,116.420511,39.996268
肯德基(北辰餐厅),cater,116.414516,40.000627
田老师红烧肉(惠新西街店),cater,116.423539,39.987231
麦当劳(亚运村餐厅),cater,116.414582,40.00032
麦当劳(国家体育场南路店),cater,116.40156,39.998489
天福号(裕中店),cater,116.398526,39.979074
肯德基(和平西街餐厅),cater,116.424105,39.96912
老边饺子(亚运村店),cater,116.415129,40.001102
老上海城隍庙小吃(安苑路店),cater,116.414861,39.989163
汉堡王(北京国家体育馆鸟巢餐厅),cater,116.401543,40.001297
内蒙特产干哥俩牛肉干(和平里店),cater,116.430854,39.963689
马路边边麻辣烫串串香(对外经贸大学店),cater,116.430742,39.985376
东方饺子王(和平里店),cater,116.431484,39.961208
眉州小吃(环球店),cater,116.417079,39.972557
黄金周快餐,cater,116.437773,39.987815
宏状元粥店(西坝河店),cater,116.442249,39.973227
宏状元粥店(和平西桥店),cater,116.424156,39.97177
汉堡王(远洋·未来广场购物中心),cater,116.439953,39.996522
嘉和一品粥(安贞医院店),cater,116.407745,39.978869
一碗香兰州牛肉面(化工大学店),cater,116.428993,39.975755
晋宝章大同刀削面(和平里店),cater,116.426827,39.963593
陈亨卤煮小肠(左家庄店),cater,116.445979,39.959873
牛大碗面馆(惠新东街店),cater,116.429997,39.986922
嘉和一品(国展店),cater,116.444789,39.965724
孙二娘面馆(和平里亲子广场店),cater,116.430858,39.963343
门框胡同卤煮,cater,116.428388,39.999079
陕面居(外馆斜街店),cater,116.411522,39.96859
馄饨侯(和平里店),cater,116.431901,39.965992
汉堡王(环球贸易中心餐厅),cater,116.417425,39.972644
宏状元粥店(小营路店),cater,116.430322,39.99831
余婆炸鸡(鼓楼店),cater,116.404427,39.958033
西少爷肉夹馍(国展店),cater,116.446096,39.967462
河南烩面,cater,116.42675,39.983503
二两店铺重庆小面抄手,cater,116.412734,39.968266
韩师傅老大同刀削面(北苑路店),cater,116.418865,39.992635
大同刀削面(亚运村店),cater,116.41602,39.988219
同福盛老北京酱肉(西坝河店),cater,116.44419,39.971364
鸿毛饺子(惠新东桥店),cater,116.43023,39.995742
京风汇香饺子馆(惠新西街店),cater,116.42344,39.987899
杨国福麻辣烫(联合大学店),cater,116.43029,39.996965
西少爷肉夹馍(远洋未来广场购物中心店),cater,116.438607,39.996343
小豆面馆(和平西桥店),cater,116.42415,39.971502
赛百味(安贞店),cater,116.41718,39.972666
老北京炸酱面(芍药居店),cater,116.443612,39.987309
啊臻味道米粉(经贸店),cater,116.437721,39.98725
桃花源米粉(安贞店),cater,116.418652,39.976175
京八珍(和平东桥店),cater,116.428748,39.975866
机场大巴站点,cater,116.422873,39.99428
鸿毛饺子(太阳宫店),cater,116.441132,39.975066
丸龟制面(环贸中心店),cater,116.416819,39.972767
陕客肉夹馍(环宇荟店),cater,116.413024,39.98363
公主参鸡汤(小营店),cater,116.433195,40.0001
一品小笼(远洋未来广场购物中心店),cater,116.438493,39.996391
口留香(远洋未来广场购物中心店),cater,116.438676,39.996397
杨国福麻辣烫(西坝河店),cater,116.442482,39.974037
阿甘锅盔(环宇荟店),cater,116.41284,39.984063
好伦哥(地坛店),cater,116.414105,39.959647
天桥茶汤李京味餐厅(和平里店),cater,116.426788,39.968032
左陕右甘面食小吃西北菜(亚运村老店),cater,116.420716,39.99663
江苏饭店,hotel,116.413655,39.971766
必胜客(惠新东桥餐厅),cater,116.429865,39.995567
熊小胖烤肉(惠新南里5号院店),cater,116.428082,39.983538
LAKER'S(对外经贸店),cater,116.429275,39.986911
必胜客(安贞门餐厅),cater,116.412843,39.984168
达美乐比萨(慧忠路店),cater,116.416931,40.001086
必胜客(亚运村餐厅),cater,116.41455,40.00019
毕派克咖啡(樱花园东街店),cater,116.431588,39.976638
必胜宅急送(安外大街店),cater,116.413871,39.958136
茶花妹子潮汕砂锅粥(小营店),cater,116.430183,39.999537
揽月斋牛肉面,cater,116.4199,39.997299
达美乐比萨(樱花园店),cater,116.430902,39.98036
达美乐比萨(柳芳店),cater,116.439649,39.964414
栗满秋(燕丰店),cater,116.445944,39.965746
老北京炸酱面(和平里北街店),cater,116.415174,39.965715
必胜客宅急送(慧忠路店),cater,116.416353,40.002007
和府捞面(远洋·未来广场购物中心店),cater,116.438567,39.996632
牛姥姥牛奶酪,cater,116.413458,39.978591
喜家德虾仁水饺(远洋·未来广场购物中心店),cater,116.437965,39.996503
name,type,lng,lat
护国寺小吃(和平西街店),cater,116.423801,39.971425
南城香(国展店),cater,116.445986,39.966328
护国寺小吃(安慧里店),cater,116.420511,39.996268
肯德基(北辰餐厅),cater,116.414516,40.000627
田老师红烧肉(惠新西街店),cater,116.423539,39.987231
麦当劳(亚运村餐厅),cater,116.414582,40.00032
麦当劳(国家体育场南路店),cater,116.40156,39.998489
天福号(裕中店),cater,116.398526,39.979074
肯德基(和平西街餐厅),cater,116.424105,39.96912
老边饺子(亚运村店),cater,116.415129,40.001102
老上海城隍庙小吃(安苑路店),cater,116.414861,39.989163
汉堡王(北京国家体育馆鸟巢餐厅),cater,116.401543,40.001297
内蒙特产干哥俩牛肉干(和平里店),cater,116.430854,39.963689
马路边边麻辣烫串串香(对外经贸大学店),cater,116.430742,39.985376
东方饺子王(和平里店),cater,116.431484,39.961208
