name,type,lng,lat
明发商业广场北区(明发商业广场店),shopping,118.129714,24.485961
明发商业广场南区,shopping,118.129182,24.483352
莲坂商业广场,shopping,118.130677,24.483811
建发悦享中心商场,shopping,118.118902,24.500181
金中华江头商城,shopping,118.140289,24.505607
SM新生活广场红宝石(SM新生活广场店),shopping,118.131523,24.505354
菡菁商场,shopping,118.136444,24.491383
篑笃街道悦享中心,shopping,118.119319,24.500216
华天购物中心,shopping,118.129914,24.490461
民兴商城,shopping,118.140161,24.505805
莲花广场商业中心,shopping,118.136585,24.494549
富万邦商业中心,house,118.125325,24.488364
yowe悦微金领广场,shopping,118.117961,24.481473
华联商厦,house,118.122594,24.509383
阜康大厦商场,shopping,118.130683,24.489675
雪梨广场分公司,shopping,118.134824,24.517945
仙岳路710-740号楼,house,118.135941,24.505037
明发商业广场业主之家,shopping,118.128594,24.485553
华贸空运操作中心,life,118.129987,24.533983
仙岳路742-778号楼,house,118.13675,24.505059
明发商业广场北区(明发商业广场店),shopping,118.129714,24.485961
明发商业广场南区,shopping,118.129182,24.483352
莲坂商业广场,shopping,118.130677,24.483811
建发悦享中心商场,shopping,118.118902,24.500181
金中华江头商城,shopping,118.140289,24.505607
SM新生活广场红宝石(SM新生活广场店),shopping,118.131523,24.505354
菡菁商场,shopping,118.136444,24.491383
篑笃街道悦享中心,shopping,118.119319,24.500216
华天购物中心,shopping,118.129914,24.490461
民兴商城,shopping,118.140161,24.505805
莲花广场商业中心,shopping,118.136585,24.494549
富万邦商业中心,house,118.125325,24.488364
yowe悦微金领广场,shopping,118.117961,24.481473
华联商厦,house,118.122594,24.509383
阜康大厦商场,shopping,118.130683,24.489675
雪梨广场分公司,shopping,118.134824,24.517945
仙岳路710-740号楼,house,118.135941,24.505037
明发商业广场业主之家,shopping,118.128594,24.485553
华贸空运操作中心,life,118.129987,24.533983
仙岳路742-778号楼,house,118.13675,24.505059
明发商业广场北区(明发商业广场店),shopping,118.129714,24.485961
明发商业广场南区,shopping,118.129182,24.483352
莲坂商业广场,shopping,118.130677,24.483811
建发悦享中心商场,shopping,118.118902,24.500181
金中华江头商城,shopping,118.140289,24.505607
SM新生活广场红宝石(SM新生活广场店),shopping,118.131523,24.505354
菡菁商场,shopping,118.136444,24.491383
篑笃街道悦享中心,shopping,118.119319,24.500216
华天购物中心,shopping,118.129914,24.490461
民兴商城,shopping,118.140161,24.505805
莲花广场商业中心,shopping,118.136585,24.494549
富万邦商业中心,house,118.125325,24.488364
yowe悦微金领广场,shopping,118.117961,24.481473
华联商厦,house,118.122594,24.509383
阜康大厦商场,shopping,118.130683,24.489675
雪梨广场分公司,shopping,118.134824,24.517945
仙岳路710-740号楼,house,118.135941,24.505037
明发商业广场业主之家,shopping,118.128594,24.485553
华贸空运操作中心,life,118.129987,24.533983
仙岳路742-778号楼,house,118.13675,24.505059
