name,lng,lat
猫住咖啡(大学路店), 118.095381, 24.443205
泰国菜调料品, 118.094206, 24.469229
放牛斑(滨北官任店), 118.092285, 24.482966
乌头黑糖粉圆(禾祥西店), 118.087531, 24.46863
喫茶铺(和宁里), 118.093682, 24.501458
吸引-CT Cafe(华侨博物馆店), 118.095016, 24.449664
奶茶手抓饼铺, 118.09699, 24.461246
Thank You Cafe, 118.095973, 24.442947
青雷融水咖啡茶饮, 118.094719, 24.46675
好味亭奶茶(厦大店), 118.096704, 24.449876
吸引茶饮(中山店), 118.087698, 24.459888
表叔(中华城店), 118.088562, 24.459252
御可贡茶(来雅百货店), 118.089115, 24.4606
华莱士汉堡店(东渡店), 118.088345, 24.49351
雀越 Queen, 118.090703, 24.481607
零点咖啡(镇海店), 118.095466, 24.460377
千尊比萨意式休闲餐厅(东渡店), 118.09391, 24.501765
厦门市思明区阿达仔饮品店, 118.090687, 24.460402
杨记正宗漳州四果汤(思明南路店), 118.089013, 24.458224
粮全其美手抓饼奶茶, 118.087834, 24.468698
大又脆汉堡炸鸡奶茶薯条, 118.09393, 24.502337
吉斯汉堡, 118.097378, 24.450657
四季优茗奶茶店, 118.093336, 24.500923
猫住咖啡(大学路店), 118.095381, 24.443205
泰国菜调料品, 118.094206, 24.469229
放牛斑(滨北官任店), 118.092285, 24.482966
乌头黑糖粉圆(禾祥西店), 118.087531, 24.46863
喫茶铺(和宁里), 118.093682, 24.501458
吸引-CT Cafe(华侨博物馆店), 118.095016, 24.449664
奶茶手抓饼铺, 118.09699, 24.461246
Thank You Cafe, 118.095973, 24.442947
青雷融水咖啡茶饮, 118.094719, 24.46675
好味亭奶茶(厦大店), 118.096704, 24.449876
吸引茶饮(中山店), 118.087698, 24.459888
表叔(中华城店), 118.088562, 24.459252
御可贡茶(来雅百货店), 118.089115, 24.4606
华莱士汉堡店(东渡店), 118.088345, 24.49351
雀越 Queen, 118.090703, 24.481607
零点咖啡(镇海店), 118.095466, 24.460377
千尊比萨意式休闲餐厅(东渡店), 118.09391, 24.501765
告别咖啡, 118.087397, 24.462309
厦门市思明区阿达仔饮品店, 118.090687, 24.460402
杨记正宗漳州四果汤(思明南路店), 118.089013, 24.458224
粮全其美手抓饼奶茶, 118.087834, 24.468698
大又脆汉堡炸鸡奶茶薯条, 118.09393, 24.502337
吉斯汉堡, 118.097378, 24.450657
四季优茗奶茶店, 118.093336, 24.500923
乌头黑糖粉圆(禾祥西店), 118.087531, 24.46863
喫茶铺(和宁里), 118.093682, 24.501458
吸引-CT Cafe(华侨博物馆店), 118.095016, 24.449664
奶茶手抓饼铺, 118.09699, 24.461246
青雷融水咖啡茶饮, 118.094719, 24.46675
好味亭奶茶(厦大店), 118.096704, 24.449876
吸引茶饮(中山店), 118.087698, 24.459888
表叔(中华城店), 118.088562, 24.459252
御可贡茶(来雅百货店), 118.089115, 24.4606
华莱士汉堡店(东渡店), 118.088345, 24.49351
雀越 Queen, 118.090703, 24.481607
零点咖啡(镇海店), 118.095466, 24.460377
千尊比萨意式休闲餐厅(东渡店), 118.09391, 24.501765
告别咖啡, 118.087397, 24.462309
厦门市思明区阿达仔饮品店, 118.090687, 24.460402
杨记正宗漳州四果汤(思明南路店), 118.089013, 24.458224
粮全其美手抓饼奶茶, 118.087834, 24.468698
大又脆汉堡炸鸡奶茶薯条, 118.09393, 24.502337
吉斯汉堡, 118.097378, 24.450657
四季优茗奶茶店, 118.093336, 24.500923
喫茶铺(和宁里), 118.093682, 24.501458
奶茶手抓饼铺, 118.09699, 24.461246
青雷融水咖啡茶饮, 118.094719, 24.46675
吸引茶饮(中山店), 118.087698, 24.459888
表叔(中华城店), 118.088562, 24.459252
御可贡茶(来雅百货店), 118.089115, 24.4606
华莱士汉堡店(东渡店), 118.088345, 24.49351
雀越 Queen, 118.090703, 24.481607
零点咖啡(镇海店), 118.095466, 24.460377
千尊比萨意式休闲餐厅(东渡店), 118.09391, 24.501765
告别咖啡, 118.087397, 24.462309
厦门市思明区阿达仔饮品店, 118.090687, 24.460402
杨记正宗漳州四果汤(思明南路店), 118.089013, 24.458224
粮全其美手抓饼奶茶, 118.087834, 24.468698
大又脆汉堡炸鸡奶茶薯条, 118.09393, 24.502337
四季优茗奶茶店, 118.093336, 24.500923
千尊比萨意式休闲餐厅(东渡店), 118.09391, 24.501765
粮全其美手抓饼奶茶, 118.087834, 24.468698
大又脆汉堡炸鸡奶茶薯条, 118.09393, 24.502337
四季优茗奶茶店, 118.093336, 24.500923
KOI Thé(厦门国贸广场店), 118.105684, 24.474781
每天咖啡(文创口岸店), 118.104165, 24.516793
陌巷咖啡, 118.099448, 24.47243
尊宝比萨(滨北店), 118.099161, 24.484722
黑桃漫生活Cafe(湖里海天店), 118.099957, 24.510988
千尊比萨(湖里店), 118.104097, 24.51259
言成咖啡, 118.101084, 24.469353
KOI The(禾祥湖中路店), 118.105595, 24.474738
老塞咖啡(泊寓华昌店), 118.105148, 24.520928
MS JOY, 118.105642, 24.474743
Koi Cafe(禾祥商城西北), 118.105641, 24.474735
KOI Thé(厦门国贸广场店), 118.105684, 24.474781
陌巷咖啡, 118.099448, 24.47243
每天咖啡(文创口岸店), 118.104165, 24.516793
尊宝比萨(滨北店), 118.099161, 24.484722
黑桃漫生活Cafe(湖里海天店), 118.099957, 24.510988
千尊比萨(湖里店), 118.104097, 24.51259
言成咖啡, 118.101084, 24.469353
KOI The(禾祥湖中路店), 118.105595, 24.474738
老塞咖啡(泊寓华昌店), 118.105148, 24.520928
MS JOY, 118.105642, 24.474743
Koi Cafe(禾祥商城西北), 118.105641, 24.474735
放牛斑(湖里大道店), 118.103186, 24.51598
茶之鲜, 118.100728, 24.462365
曾经旺饮品店, 118.098234, 24.445964
每天咖啡(美仁宫店), 118.097841, 24.46933
KOI Thé(厦门国贸广场店), 118.105684, 24.474781
陌巷咖啡, 118.099448, 24.47243
每天咖啡(文创口岸店), 118.104165, 24.516793
尊宝比萨(滨北店), 118.099161, 24.484722
尊宝比萨(厦大店), 118.098536, 24.445611
黑桃漫生活Cafe(湖里海天店), 118.099957, 24.510988
逸夫楼西餐厅, 118.105084, 24.445437
千尊比萨(湖里店), 118.104097, 24.51259
言成咖啡, 118.101084, 24.469353
KOI The(禾祥湖中路店), 118.105595, 24.474738
天天多多乐牛排蛋包饭(后滨路店), 118.103966, 24.475526
老塞咖啡(泊寓华昌店), 118.105148, 24.520928
MS JOY, 118.105642, 24.474743
Koi Cafe(禾祥商城西北), 118.105641, 24.474735
陌巷咖啡, 118.099448, 24.47243
每天咖啡(文创口岸店), 118.104165, 24.516793
尊宝比萨(滨北店), 118.099161, 24.484722
黑桃漫生活Cafe(湖里海天店), 118.099957, 24.510988
千尊比萨(湖里店), 118.104097, 24.51259
言成咖啡, 118.101084, 24.469353
KOI The(禾祥湖中路店), 118.105595, 24.474738
天天多多乐牛排蛋包饭(后滨路店), 118.103966, 24.475526
老塞咖啡(泊寓华昌店), 118.105148, 24.520928
MS JOY, 118.105642, 24.474743
Koi Cafe(禾祥商城西北), 118.105641, 24.474735
尊宝比萨(滨北店), 118.099161, 24.484722
黑桃漫生活Cafe(湖里海天店), 118.099957, 24.510988
千尊比萨(湖里店), 118.104097, 24.51259
言成咖啡, 118.101084, 24.469353
KOI The(禾祥湖中路店), 118.105595, 24.474738
天天多多乐牛排蛋包饭(后滨路店), 118.103966, 24.475526
老塞咖啡(泊寓华昌店), 118.105148, 24.520928
