name,lng,lat
银行中心, 118.085346, 24.466758
福建送变电大楼, 118.085801, 24.490585
港吉大厦, 118.08608, 24.493159
嘉年华大厦, 118.083501, 24.46134
钻石海岸, 118.07997, 24.46284
国贸大厦, 118.080702, 24.46825
中储粮大厦, 118.086082, 24.492369
永安盛大厦, 118.084856, 24.466723
御景苑-A栋, 118.085618, 24.471265
亿力大厦, 118.085082, 24.468068
裕成大厦-B栋写字楼, 118.083936, 24.485611
海关大厦, 118.080235, 24.470536
民主大厦, 118.084404, 24.461546
厦门绿发大厦, 118.08161, 24.47111
新港广场-南楼, 118.086814, 24.482754
裕成大厦, 118.083899, 24.48529
鹭槟大厦, 118.085434, 24.48982
厦门市市直机关办公楼, 118.084648, 24.461528
金融协同中心, 118.086528, 24.455767
东方阁, 118.086463, 24.46757
富春阁, 118.086184, 24.467506
银行中心宾楼, 118.0846, 24.467165
黄金大厦, 118.082938, 24.484616
鹭江大厦, 118.08122, 24.460147
C座, 118.084465, 24.468767
海达厦门综合办公楼, 118.082581, 24.484334
钻石海岸-B幢, 118.079901, 24.462901
振华大厦, 118.085061, 24.489178
管委会办公楼, 118.079828, 24.4481
外贸大厦-B座, 118.087047, 24.484559
禹洲商业中心, 118.08501, 24.470293
华侨银行大楼, 118.081728, 24.459388
新港广场-北楼, 118.086487, 24.483672
创业基地, 118.084422, 24.477969
亿力大厦-A座, 118.084879, 24.46839
思明区银行中心, 118.084909, 24.467128
东海大厦, 118.081834, 24.459964
钻石海岸-A幢, 118.079962, 24.463058
永安盛大厦-写字楼大堂, 118.084725, 24.466545
银行中心-19号楼, 118.085367, 24.466593
社会科学大楼, 118.083862, 24.458143
宝嘉中心, 118.082105, 24.472104
新港广场-B座, 118.086274, 24.483694
广福大厦, 118.083683, 24.464516
新港广场-A座, 118.086274, 24.483694
厦门第一广场-1号楼, 118.08674, 24.45582
鸿升大厦23楼-d座, 118.086461, 24.468601
新港广场-C座, 118.086274, 24.483694
顺荣大厦, 118.085801, 24.45965
厦门第一广场东座, 118.086779, 24.455701
怡山商业中心, 118.079194, 24.464367
厦门第一广场-2号楼, 118.086354, 24.456416
大西洋海景城-B座, 118.084581, 24.468082
协成通商大厦, 118.085885, 24.468698
中山路民宅, 118.086609, 24.463888
天虹大厦, 118.084972, 24.468472
五矿大厦, 118.087036, 24.484684
鸿升大厦18楼B座, 118.086391, 24.468419
亨事达商业中心, 118.078558, 24.468403
卧岩滩, 118.083808, 24.457598
雷格斯商务中心, 118.082306, 24.458735
厦门口岸综合楼, 118.080065, 24.469302
启德大厦, 118.083341, 24.489765
瑞丰德永国际商务中心, 118.079378, 24.46433
西海湾邮轮城6号, 118.083941, 24.492753
旺角, 118.087001, 24.466142
藤野公寓, 118.084227, 24.462899
天虹商场-大西洋商务中心, 118.085021, 24.468045
海达厦门综合办公楼-北门, 118.082695, 24.484648
雪邦黄金海岸, 118.08221, 24.458791
135(中华城北区), 118.08702, 24.459855
