name,lng,lat
中央音乐学院鼓浪屿音乐培训中心-南门, 118.081197, 24.447241
思明区中华街道老年学校, 118.086371, 24.457902
优能中学, 118.085924, 24.467622
中小学个性化学习辅导, 118.086285, 24.468454
厦门市大同小学-北门, 118.083508, 24.467054
思明区少年业余体育学校, 118.084343, 24.465928
上海音乐学院附中教学点, 118.078513, 24.448413
厦门市音乐学校-南门, 118.078225, 24.447756
渡引瑜伽学院(思北店), 118.08702, 24.467281
小学苑小区-北门, 118.083023, 24.469376
厦门市文安小学-东门, 118.086998, 24.458824
小学苑小区-南门, 118.082914, 24.468821
厦门市音乐学校-宿舍楼, 118.07895, 24.447929
厦门市定安小学-北门, 118.085102, 24.458927
厦门市音乐学校教师宿舍楼(东门), 118.078982, 24.448045
厦门市音乐学校教师宿舍楼(西北门), 118.078954, 24.448043
厦门市音乐学校-东门, 118.078513, 24.448413
理工学校宿舍, 118.081846, 24.466224
厦门工商旅游学校培训中心-西门, 118.084424, 24.457203
中央音乐学院继续教育学院-南门, 118.081386, 24.447223
思明区24小时自助图书馆(小学路), 118.082938, 24.46724
厦门市开禾小学-西南门, 118.080944, 24.463703
厦门市思明区中等职业学校, 118.084232, 24.466528
新东方(厦门学校思北泡泡校区), 118.085965, 24.468781
小学社区老年人体育协会, 118.08237, 24.468734
中央音乐学院鼓浪屿音乐培训中心-南门, 118.081197, 24.447241
思明区中华街道老年学校, 118.086371, 24.457902
优能中学, 118.085924, 24.467622
中小学个性化学习辅导, 118.086285, 24.468454
厦门市大同小学-北门, 118.083508, 24.467054
思明区少年业余体育学校, 118.084343, 24.465928
上海音乐学院附中教学点, 118.078513, 24.448413
厦门市音乐学校-南门, 118.078225, 24.447756
渡引瑜伽学院(思北店), 118.08702, 24.467281
小学苑小区-北门, 118.083023, 24.469376
厦门市文安小学-东门, 118.086998, 24.458824
小学苑小区-南门, 118.082914, 24.468821
厦门市音乐学校-宿舍楼, 118.07895, 24.447929
厦门市定安小学-北门, 118.085102, 24.458927
厦门市音乐学校教师宿舍楼(东门), 118.078982, 24.448045
厦门市音乐学校教师宿舍楼(西北门), 118.078954, 24.448043
厦门市音乐学校-东门, 118.078513, 24.448413
理工学校宿舍, 118.081846, 24.466224
厦门工商旅游学校培训中心-西门, 118.084424, 24.457203
