name,line,lon,lat
镇海路, 1号线, 118.082731, 24.450421
中山公园, 1号线, 118.089887, 24.456007
将军祠, 1号线, 118.099835, 24.460767
文灶, 1号线, 118.103380, 24.467877
湖滨东路, 1号线, 118.110656, 24.474027
莲坂, 1号线, 118.118196, 24.476107
莲花路口, 1号线, 118.122857, 24.483483
吕厝, 1号线, 118.127959, 24.490680
乌石浦, 1号线, 118.126518, 24.498916
塘边, 1号线, 118.122619, 24.506304
火炬园, 1号线, 118.118783, 24.511850
殿前, 1号线, 118.116170, 24.524893
高崎, 1号线, 118.116833, 24.537530
集美学村, 1号线, 118.092318, 24.563899
园博苑, 1号线, 118.067162, 24.569925
杏林村, 1号线, 118.061404, 24.577444
杏锦路, 1号线, 118.057362, 24.581477
官任, 1号线, 118.058588, 24.593633
诚毅广场, 1号线, 118.054048, 24.603706
集美软件园, 1号线, 118.047934, 24.613351
集美大道, 1号线, 118.055548, 24.620221
天水路, 1号线, 118.066175, 24.625994
厦门北站, 1号线, 118.074120, 24.636134
岩内, 1号线, 118.070286, 24.643030
天竺山, 2号线, 117.936836, 24.578677
东孚, 2号线, 117.947532, 24.566354
新阳大道, 2号线, 117.995312, 24.537185
新垵, 2号线, 118.005933, 24.530788
翁角路, 2号线, 118.014494, 24.526134
马青路, 2号线, 118.030109, 24.493865
海沧行政中心, 2号线, 118.033102, 24.487526
海沧商务中心, 2号线, 118.039363, 24.480889
海沧湾公园, 2号线, 118.050287, 24.484648
邮轮中心, 2号线, 118.077155, 24.484959
建业路, 2号线, 118.084018, 24.478127
湖滨中路, 2号线, 118.094744, 24.480508
体育中心, 2号线, 118.106182, 24.483731
育秀东路, 2号线, 118.114467, 24.485878
吕厝, 2号线, 118.127959, 24.490680
江头, 2号线, 118.137644, 24.492429
后埔, 2号线, 118.147357, 24.489391
蔡塘, 2号线, 118.153481, 24.487156
古地石, 2号线, 118.163646, 24.485644
岭兜, 2号线, 118.173860, 24.484305
软件园二期, 2号线, 118.185164, 24.480522
何厝, 2号线, 118.192670, 24.485200
观音山, 2号线, 118.192790, 24.493542
东宅, 2号线, 118.192874, 24.499103
两岸金融中心, 2号线, 118.193991, 24.505456
五通, 2号线, 118.189562, 24.511615
湿地公园, 2号线, 118.183577, 24.516475
钟宅, 2号线, 118.173035, 24.523927
五缘湾, 2号线, 118.166441, 24.532908
